512	2899	3
1565	2416	3
3820	3607	3
25873	4841	2
16942	1869	3
21824	5187	3
2262	7538	3
12696	3081	3
9093	1470	3
253	3063	2
18484	3227	5
35708	5274	2
35795	5249	2
4536	2296	3
12460	2955	3
71	1827	3
16691	4514	2
499	1702	2
12604	2962	3
13705	2317	3
1166	3141	4
4558	1869	3
20625	2213	3
8394	2229	3
10802	3004	3
14646	3184	1
22036	2251	3
2799	3794	4
8873	4084	2
490	5136	3
17858	1749	3
12441	1595	3
7793	2450	3
8299	4906	2
836	1831	3
22690	2251	3
12033	2268	3
4663	1873	3
71	4787	3
2802	2184	5
15613	1642	3
6302	2156	2
10504	1774	3
8755	3055	3
17508	1899	3
14767	3219	3
8662	3022	3
109	5575	3
318	1835	1
3311	2198	3
1308	2134	3
19057	5364	2
6255	1575	1
33899	4212	3
12672	1865	3
18345	5037	3
3306	1666	4
8052	2800	3
1977	2617	3
637	3195	2
4313	3130	3
30013	4287	5
12635	2974	3
3509	4491	3
4213	5644	3
21	1	1
4117	5241	2
5555	2335	1
6479	5273	4
313	2183	5
8855	3023	3
7209	4804	3
574	5262	1
300	4567	3
2499	2770	3
4039	5178	3
2578	2900	3
8873	3275	3
7248	2025	3
19355	3485	3
10634	1888	1
679	2910	3
30077	3081	3
19874	5378	1
12550	1945	3
4042	1715	2
12078	1642	3
6272	7538	3
10340	2264	5
6856	3115	3
7348	1438	4
16763	4535	3
5414	1486	3
919	4999	3
12435	5080	3
9174	1749	3
4558	2965	3
13202	5389	3
33409	3846	5
3980	2276	3
30680	7204	3
17677	3576	3
8711	3205	4
3128	1499	3
4787	1852	3
5975	4823	3
25628	8584	1
22932	3026	3
124	2763	3
4719	3057	3
29022	2996	3
6019	2416	4
17930	2144	2
13131	7203	3
2042	7393	3
5863	2111	2
34363	4439	2
7977	2709	3
2487	1525	1
1774	7357	1
10965	5163	3
30233	3240	3
2310	3022	3
36625	5379	3
32854	3434	3
1669	1506	3
15285	3019	3
12357	1571	3
9322	1474	3
6605	2159	2
191	1995	5
2487	5625	3
26562	3078	4
3688	2229	3
9237	2082	3
14	1	1
3532	4318	3
1810	2450	3
8238	3892	5
3311	3483	3
13392	1907	3
26527	3008	3
29327	3007	3
8359	3007	3
13603	2097	3
15321	2233	3
1482	2530	3
7381	2296	2
6659	4615	3
4522	5076	4
7376	5112	3
7052	1572	3
30219	5280	3
7478	2451	4
34251	5149	3
3886	2999	2
6245	1518	1
8971	3446	1
27463	2865	5
9034	1945	3
2392	2700	1
3510	7120	2
10633	1705	3
12007	3438	3
23064	3038	3
6883	4697	2
5077	1499	3
4246	2546	4
16770	3217	1
15218	3081	3
2130	1408	3
5132	1487	3
16913	2197	3
8854	1741	3
34285	4548	3
2354	4317	3
12587	1551	4
620	5576	3
10924	2757	3
6466	5203	2
2867	2165	5
5703	1464	3
2943	2300	3
32046	3286	3
